"#name,fg,bg,hl-fg,hl-bg,cur-fg,cur-bg,ansi-0,ansi-1,ansi-2,ansi-3,ansi-4,ansi-5,ansi-6,ansi-7,ansi-8,ansi-9,ansi-10,ansi-11,ansi-12,ansi-13,ansi-14,ansi-15"
blue-matrix,#00a2ff,#101116,#000000,#c1deff,#000000,#76ff9f,#101116,#ff5680,#00ff9c,#fffc58,#00b0ff,#d57bff,#76c1ff,#c7c7c7,#686868,#ff6e67,#5ffa68,#fffc67,#6871ff,#d682ec,#60fdff,#ffffff
blueberrypie,#babab9,#1c0c28,#ffffff,#606060,#1c0c28,#fcfad6,#0a4c62,#99246e,#5cb1b3,#eab9a8,#90a5bd,#9d54a7,#7e83cc,#f0e8d6,#201637,#c87272,#0a6c7e,#7a3188,#39173d,#bc94b7,#5e6071,#0a6c7e
bluedolphin,#c5f2ff,#006984,#eceff1,#2baeca,#006984,#ffcc00,#292d3e,#ff8288,#b4e88d,#f4d69f,#82aaff,#e9c1ff,#89ebff,#d0d0d0,#434758,#ff8b92,#ddffa7,#ffe585,#9cc4ff,#ddb0f6,#a3f7ff,#ffffff
blulocodark,#b9c0cb,#282c34,#272b33,#b9c0ca,#272b33,#ffcc00,#41444d,#fc2f52,#25a45c,#ff936a,#3476ff,#7a82da,#4483aa,#cdd4e0,#8f9aae,#ff6480,#3fc56b,#f9c859,#10b1fe,#ff78f8,#5fb9bc,#ffffff
blulocolight,#373a41,#f9f9f9,#373a41,#daf0ff,#f9f9f9,#f32759,#babbc2,#d52753,#23974a,#df631c,#275fe4,#823ff1,#27618d,#373a41,#d3d3d3,#ff6480,#3cbc66,#c5a332,#0099e1,#ce33c0,#6d93bb,#676a77
borland,#ffff4e,#0000a4,#0000a4,#a4a4a4,#0000a4,#ffa560,#4f4f4f,#ff6c60,#a8ff60,#ffffb6,#96cbfe,#ff73fd,#c6c5fe,#eeeeee,#7c7c7c,#ffb6b0,#ceffac,#ffffcc,#b5dcff,#ff9cfe,#dfdffe,#ffffff
breeze,#eff0f1,#31363b,#31363b,#eff0f1,#31363b,#eff0f1,#31363b,#ed1515,#11d116,#f67400,#1d99f3,#9b59b6,#1abc9c,#eff0f1,#7f8c8d,#c0392b,#1cdc9a,#fdbc4b,#3daee9,#8e44ad,#16a085,#fcfcfc
bright-lights,#b3c9d7,#191919,#191919,#b3c9d7,#191919,#f34b00,#191919,#ff355b,#b7e876,#ffc251,#76d4ff,#ba76e7,#6cbfb5,#c2c8d7,#191919,#ff355b,#b7e876,#ffc251,#76d5ff,#ba76e7,#6cbfb5,#c2c8d7
broadcast,#e6e1dc,#2b2b2b,#e6e1dc,#5a647e,#2b2b2b,#ffffff,#000000,#da4939,#519f50,#ffd24a,#6d9cbe,#d0d0ff,#6e9cbe,#ffffff,#323232,#ff7b6b,#83d182,#ffff7c,#9fcef0,#ffffff,#a0cef0,#ffffff
brogrammer,#d6dbe5,#131313,#d6dbe5,#1f1f1f,#131313,#b9b9b9,#1f1f1f,#f81118,#2dc55e,#ecba0f,#2a84d2,#4e5ab7,#1081d6,#d6dbe5,#d6dbe5,#de352e,#1dd361,#f3bd09,#1081d6,#5350b9,#0f7ddb,#ffffff
builtin-dark,#bbbbbb,#000000,#000000,#b5d5ff,#000000,#bbbbbb,#000000,#bb0000,#00bb00,#bbbb00,#0000bb,#bb00bb,#00bbbb,#bbbbbb,#555555,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#ffffff
builtin-light,#000000,#ffffff,#000000,#b5d5ff,#ffffff,#000000,#bbbbbb,#bb0000,#00bb00,#bbbb00,#0000bb,#bb00bb,#00bbbb,#000000,#ffffff,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#555555
builtin-pastel-dark,#bbbbbb,#000000,#f2f2f2,#363983,#000000,#ffa560,#4f4f4f,#ff6c60,#a8ff60,#ffffb6,#96cbfe,#ff73fd,#c6c5fe,#eeeeee,#7c7c7c,#ffb6b0,#ceffac,#ffffcc,#b5dcff,#ff9cfe,#dfdffe,#ffffff
builtin-solarized-dark,#839496,#002b36,#93a1a1,#073642,#002b36,#839496,#073642,#dc322f,#859900,#b58900,#268bd2,#d33682,#2aa198,#eee8d5,#002b36,#cb4b16,#586e75,#657b83,#839496,#6c71c4,#93a1a1,#fdf6e3
builtin-solarized-light,#657b83,#fdf6e3,#586e75,#eee8d5,#fdf6e3,#657b83,#eee8d5,#dc322f,#859900,#b58900,#268bd2,#d33682,#2aa198,#073642,#fdf6e3,#cb4b16,#586e75,#657b83,#839496,#6c71c4,#93a1a1,#002b36
builtin-tango-dark,#ffffff,#000000,#000000,#b5d5ff,#000000,#ffffff,#000000,#cc0000,#4e9a06,#c4a000,#3465a4,#75507b,#06989a,#d3d7cf,#555753,#ef2929,#8ae234,#fce94f,#729fcf,#ad7fa8,#34e2e2,#eeeeec
builtin-tango-light,#000000,#ffffff,#000000,#b5d5ff,#ffffff,#000000,#d3d7cf,#cc0000,#4e9a06,#c4a000,#3465a4,#75507b,#06989a,#000000,#eeeeec,#ef2929,#8ae234,#fce94f,#729fcf,#ad7fa8,#34e2e2,#555753
c64,#7869c4,#40318d,#40318d,#7869c4,#40318d,#7869c4,#090300,#883932,#55a049,#bfce72,#40318d,#8b3f96,#67b6bd,#ffffff,#000000,#883932,#55a049,#bfce72,#40318d,#8b3f96,#67b6bd,#f7f7f7
calamity,#d5ced9,#2f2833,#d5ced9,#7e6c88,#2f2833,#d5ced9,#2f2833,#fc644d,#a5f69c,#e9d7a5,#3b79c7,#f92672,#74d3de,#d5ced9,#7e6c88,#fc644d,#a5f69c,#e9d7a5,#3b79c7,#f92672,#74d3de,#ffffff
carbonfox,#f2f4f8,#161616,#f2f4f8,#2a2a2a,#161616,#f2f4f8,#282828,#ee5396,#25be6a,#08bdba,#78a9ff,#be95ff,#33b1ff,#dfdfe0,#484848,#f16da6,#46c880,#2dc7c4,#8cb6ff,#c8a5ff,#52bdff,#e4e4e5
catppuccin-frappe,#c6d0f5,#303446,#c6d0f5,#4f5369,#4f5369,#c6d0f5,#51576d,#e78284,#a6d189,#e5c890,#8caaee,#f4b8e4,#81c8be,#b5bfe2,#626880,#e78284,#a6d189,#e5c890,#8caaee,#f4b8e4,#81c8be,#a5adce
catppuccin-latte,#4c4f69,#eff1f5,#4c4f69,#ccced7,#ccced7,#4c4f69,#acb0be,#d20f39,#40a02b,#df8e1d,#1e66f5,#ea76cb,#179299,#5c5f77,#bcc0cc,#d20f39,#40a02b,#df8e1d,#1e66f5,#ea76cb,#179299,#6c6f85
